stage,target,model,train_start,train_end,val_start,val_end,n_train,n_val,rmse,mae,direction_accuracy,prediction_kind,is_change,horizon_days,preds_csv
stage1_demand,label__demand__保险__t+20,elasticnet,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,18.742077287778265,14.093227664748005,0.4775510204081633,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_demand/preds/elasticnet/label__demand__保险__t+20.csv
stage1_demand,label__demand__保险__t+20,xgboost,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,18.60663396228671,14.131812094629295,0.42857142857142855,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_demand/preds/xgboost/label__demand__保险__t+20.csv
stage1_demand,label__demand__其他__t+20,elasticnet,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,76.27899928629834,61.48918286428861,0.5224489795918368,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_demand/preds/elasticnet/label__demand__其他__t+20.csv
stage1_demand,label__demand__其他__t+20,xgboost,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,70.8573191422608,55.60371781965581,0.5020408163265306,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_demand/preds/xgboost/label__demand__其他__t+20.csv
stage1_demand,label__demand__券商__t+20,elasticnet,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,80.09162760597665,63.593977597948715,0.5469387755102041,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_demand/preds/elasticnet/label__demand__券商__t+20.csv
stage1_demand,label__demand__券商__t+20,xgboost,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,89.1609116897455,68.43002892031416,0.5061224489795918,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_demand/preds/xgboost/label__demand__券商__t+20.csv
stage1_demand,label__demand__基金__t+20,elasticnet,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,145.36960362870278,111.01013454891714,0.5102040816326531,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_demand/preds/elasticnet/label__demand__基金__t+20.csv
stage1_demand,label__demand__基金__t+20,xgboost,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,143.8746377811426,111.96513291188373,0.5265306122448979,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_demand/preds/xgboost/label__demand__基金__t+20.csv
stage1_demand,label__demand__理财子__t+20,elasticnet,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,2.5793231616874746,1.9123720491283827,0.375,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_demand/preds/elasticnet/label__demand__理财子__t+20.csv
stage1_demand,label__demand__理财子__t+20,xgboost,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,4.377827039615547,3.39913600434799,0.34375,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_demand/preds/xgboost/label__demand__理财子__t+20.csv
stage1_demand,label__demand__银行__t+20,elasticnet,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,241.52154375558527,189.4609540355583,0.47346938775510206,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_demand/preds/elasticnet/label__demand__银行__t+20.csv
stage1_demand,label__demand__银行__t+20,xgboost,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,234.8436821275568,184.32344862711136,0.4857142857142857,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_demand/preds/xgboost/label__demand__银行__t+20.csv
stage1_liquidity,label__liquidity__dr001__t+20,elasticnet,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,0.17436229363883718,0.14558429514651636,0.5306122448979592,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_liquidity/preds/elasticnet/label__liquidity__dr001__t+20.csv
stage1_liquidity,label__liquidity__dr001__t+20,xgboost,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,0.2073894863822377,0.17351743041015252,0.5102040816326531,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_liquidity/preds/xgboost/label__liquidity__dr001__t+20.csv
stage1_liquidity,label__liquidity__dr007__t+20,elasticnet,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,0.16754999825047762,0.13285727970793437,0.5614754098360656,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_liquidity/preds/elasticnet/label__liquidity__dr007__t+20.csv
stage1_liquidity,label__liquidity__dr007__t+20,xgboost,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,0.20322939899406203,0.17645420623872338,0.48360655737704916,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_liquidity/preds/xgboost/label__liquidity__dr007__t+20.csv
stage1_liquidity,label__liquidity__fr007__t+20,elasticnet,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,0.3042654563376222,0.24263837297069385,0.5355450236966824,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_liquidity/preds/elasticnet/label__liquidity__fr007__t+20.csv
stage1_liquidity,label__liquidity__fr007__t+20,xgboost,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,0.34430639219493453,0.2889288059909169,0.5402843601895735,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_liquidity/preds/xgboost/label__liquidity__fr007__t+20.csv
stage1_liquidity,label__liquidity__gc001__t+20,elasticnet,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,0.42654789910174934,0.30820859179991433,0.49166666666666664,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_liquidity/preds/elasticnet/label__liquidity__gc001__t+20.csv
stage1_liquidity,label__liquidity__gc001__t+20,xgboost,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,0.7233494606706413,0.6186485116850069,0.5208333333333334,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_liquidity/preds/xgboost/label__liquidity__gc001__t+20.csv
stage1_liquidity,label__liquidity__gc007__t+20,elasticnet,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,0.30307138718358045,0.2475644753733532,0.5384615384615384,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_liquidity/preds/elasticnet/label__liquidity__gc007__t+20.csv
stage1_liquidity,label__liquidity__gc007__t+20,xgboost,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,0.5314752302748249,0.45629515707977425,0.4658119658119658,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_liquidity/preds/xgboost/label__liquidity__gc007__t+20.csv
stage1_liquidity,label__liquidity__r001__t+20,elasticnet,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,0.2911491680629542,0.2064664481923896,0.5387755102040817,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_liquidity/preds/elasticnet/label__liquidity__r001__t+20.csv
stage1_liquidity,label__liquidity__r001__t+20,xgboost,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,0.3522203555281252,0.27861853385398067,0.5428571428571428,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_liquidity/preds/xgboost/label__liquidity__r001__t+20.csv
stage1_liquidity,label__liquidity__r007__t+20,elasticnet,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,0.357126715694602,0.2761382095871728,0.5673469387755102,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_liquidity/preds/elasticnet/label__liquidity__r007__t+20.csv
stage1_liquidity,label__liquidity__r007__t+20,xgboost,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,0.4080075423519405,0.33744030077166676,0.5346938775510204,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_liquidity/preds/xgboost/label__liquidity__r007__t+20.csv
stage1_liquidity,label__liquidity__spread_fr007_r007__t+20,elasticnet,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,0.10300992625542832,0.057637601416102,0.4489795918367347,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_liquidity/preds/elasticnet/label__liquidity__spread_fr007_r007__t+20.csv
stage1_liquidity,label__liquidity__spread_fr007_r007__t+20,xgboost,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,0.12620466963167895,0.08416872024751036,0.3836734693877551,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_liquidity/preds/xgboost/label__liquidity__spread_fr007_r007__t+20.csv
stage1_liquidity,label__liquidity__spread_gc007_r007__t+20,elasticnet,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,0.2801210044693733,0.17040629226483345,0.44081632653061226,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_liquidity/preds/elasticnet/label__liquidity__spread_gc007_r007__t+20.csv
stage1_liquidity,label__liquidity__spread_gc007_r007__t+20,xgboost,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,0.29730460866636005,0.2034531899106,0.5428571428571428,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_liquidity/preds/xgboost/label__liquidity__spread_gc007_r007__t+20.csv
stage1_liquidity,label__liquidity__spread_r007_dr007__t+20,elasticnet,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,0.23241093980180505,0.1735235914799553,0.5655737704918032,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_liquidity/preds/elasticnet/label__liquidity__spread_r007_dr007__t+20.csv
stage1_liquidity,label__liquidity__spread_r007_dr007__t+20,xgboost,2020-08-14,2024-07-18,2024-07-19,2025-07-16,983,246,0.22340697923776978,0.1681968932675637,0.4098360655737705,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage1_liquidity/preds/xgboost/label__liquidity__spread_r007_dr007__t+20.csv
stage2_final_10y,label__yield_10y__t+20,elasticnet,2020-08-17,2024-07-18,2024-07-19,2025-07-16,982,246,0.19983367472145655,0.1647545184513509,0.5122950819672131,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage2_final_10y/preds/elasticnet/label__yield_10y__t+20.csv
stage2_final_10y,label__yield_10y__t+20,xgboost,2020-08-17,2024-07-18,2024-07-19,2025-07-16,982,246,0.44550196520664315,0.39305420654731066,0.48770491803278687,level,False,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage2_final_10y/preds/xgboost/label__yield_10y__t+20.csv
stage2_final_10y,label__yield_10y_chg__t+20,elasticnet,2020-08-17,2024-07-18,2024-07-19,2025-07-16,982,246,0.1435085234085006,0.10334989011662818,0.45934959349593496,change,True,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage2_final_10y/preds/elasticnet/label__yield_10y_chg__t+20.csv
stage2_final_10y,label__yield_10y_chg__t+20,xgboost,2020-08-17,2024-07-18,2024-07-19,2025-07-16,982,246,0.13977993487189916,0.10775133589409919,0.516260162601626,change,True,20,/workspaces/Bond-Yield-Prediction/outputs/baselines/stage2_final_10y/preds/xgboost/label__yield_10y_chg__t+20.csv
