feature_name,source_file,source_table,role,stage,frequency,fill_method,used_in_dataset,notes
macro_week__中国:日均产量:粗钢,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_full.csv,Stage-2 final forecasting dataset for 10Y yield (features + labels). (mainline: t+20)
"macro_week__中国:日均销量(当周,厂家零售):乘用车",/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_full.csv,Stage-2 final forecasting dataset for 10Y yield (features + labels). (mainline: t+20)
macro_week__中国:水泥价格指数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_full.csv,Stage-2 final forecasting dataset for 10Y yield (features + labels). (mainline: t+20)
macro_week__中国:江浙地区:开工率:涤纶长丝:下游织机,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_full.csv,Stage-2 final forecasting dataset for 10Y yield (features + labels). (mainline: t+20)
macro_week__中国:生产资料价格指数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_full.csv,Stage-2 final forecasting dataset for 10Y yield (features + labels). (mainline: t+20)
macro_week__中国:票房收入:电影,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_full.csv,Stage-2 final forecasting dataset for 10Y yield (features + labels). (mainline: t+20)
macro_week__中国出口集装箱运价指数:综合指数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_full.csv,Stage-2 final forecasting dataset for 10Y yield (features + labels). (mainline: t+20)
macro_week__中国食用农产品价格指数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_full.csv,Stage-2 final forecasting dataset for 10Y yield (features + labels). (mainline: t+20)
macro_week__义乌中国小商品指数:总价格指数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_full.csv,Stage-2 final forecasting dataset for 10Y yield (features + labels). (mainline: t+20)
macro_week__唐山:高炉开工率,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_full.csv,Stage-2 final forecasting dataset for 10Y yield (features + labels). (mainline: t+20)
macro_week__期货结算价(连续):布伦特原油,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_full.csv,Stage-2 final forecasting dataset for 10Y yield (features + labels). (mainline: t+20)
macro_week__波罗的海货运指数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_full.csv,Stage-2 final forecasting dataset for 10Y yield (features + labels). (mainline: t+20)
label__yield_10y__t+20,generated,labels,target,stage2_final_10y,daily,none,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_full.csv,Stage-2 final forecasting dataset for 10Y yield (features + labels). (mainline: t+20)
label__yield_10y_chg__t+20,generated,labels,target,stage2_final_10y,daily,none,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_full.csv,Stage-2 final forecasting dataset for 10Y yield (features + labels). (mainline: t+20)
date,generated,date index (from target date frame),component_feature,stage2_final_10y_legacy_t+1,daily,none,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
trade__buy__gov_new,data/现券成交分机构统计2024*~2025*.xlsx,trade flows aggregate,component_feature,stage2_final_10y_legacy_t+1,daily,fillna(0),/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
trade__buy__gov_old,data/现券成交分机构统计2024*~2025*.xlsx,trade flows aggregate,component_feature,stage2_final_10y_legacy_t+1,daily,fillna(0),/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
trade__buy__policy_new,data/现券成交分机构统计2024*~2025*.xlsx,trade flows aggregate,component_feature,stage2_final_10y_legacy_t+1,daily,fillna(0),/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
trade__buy__policy_old,data/现券成交分机构统计2024*~2025*.xlsx,trade flows aggregate,component_feature,stage2_final_10y_legacy_t+1,daily,fillna(0),/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
trade__net__gov_new,data/现券成交分机构统计2024*~2025*.xlsx,trade flows aggregate,component_feature,stage2_final_10y_legacy_t+1,daily,fillna(0),/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
trade__net__gov_old,data/现券成交分机构统计2024*~2025*.xlsx,trade flows aggregate,component_feature,stage2_final_10y_legacy_t+1,daily,fillna(0),/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
trade__net__policy_new,data/现券成交分机构统计2024*~2025*.xlsx,trade flows aggregate,component_feature,stage2_final_10y_legacy_t+1,daily,fillna(0),/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
trade__net__policy_old,data/现券成交分机构统计2024*~2025*.xlsx,trade flows aggregate,component_feature,stage2_final_10y_legacy_t+1,daily,fillna(0),/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
trade__sell__gov_new,data/现券成交分机构统计2024*~2025*.xlsx,trade flows aggregate,component_feature,stage2_final_10y_legacy_t+1,daily,fillna(0),/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
trade__sell__gov_old,data/现券成交分机构统计2024*~2025*.xlsx,trade flows aggregate,component_feature,stage2_final_10y_legacy_t+1,daily,fillna(0),/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
trade__sell__policy_new,data/现券成交分机构统计2024*~2025*.xlsx,trade flows aggregate,component_feature,stage2_final_10y_legacy_t+1,daily,fillna(0),/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
trade__sell__policy_old,data/现券成交分机构统计2024*~2025*.xlsx,trade flows aggregate,component_feature,stage2_final_10y_legacy_t+1,daily,fillna(0),/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
yield_10y,/workspaces/Bond-Yield-Prediction/data/资金与流动性.xlsx,yield_10y.csv (fallback) / target extract,component_feature,stage2_final_10y_legacy_t+1,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
feat__yield_10y__lag1,/workspaces/Bond-Yield-Prediction/data/资金与流动性.xlsx,yield_10y.csv (fallback) / target extract,lag_feature,stage2_final_10y_legacy_t+1,daily,none,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
feat__yield_10y__lag5,/workspaces/Bond-Yield-Prediction/data/资金与流动性.xlsx,yield_10y.csv (fallback) / target extract,lag_feature,stage2_final_10y_legacy_t+1,daily,none,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_day__净融资额(亿元),/workspaces/Bond-Yield-Prediction/data/高频宏观指标_day.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_day__到期偿还量(亿元),/workspaces/Bond-Yield-Prediction/data/高频宏观指标_day.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_day__到期只数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_day.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_day__发行只数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_day.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_day__回售只数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_day.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_day__回售量(亿元),/workspaces/Bond-Yield-Prediction/data/高频宏观指标_day.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_day__总偿还量(亿元),/workspaces/Bond-Yield-Prediction/data/高频宏观指标_day.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_day__总发行量(亿元),/workspaces/Bond-Yield-Prediction/data/高频宏观指标_day.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_day__提前兑付只数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_day.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_day__提前兑付量(亿元),/workspaces/Bond-Yield-Prediction/data/高频宏观指标_day.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_day__现金要约只数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_day.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_day__现金要约金额(亿元),/workspaces/Bond-Yield-Prediction/data/高频宏观指标_day.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_day__赎回只数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_day.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_day__赎回量(亿元),/workspaces/Bond-Yield-Prediction/data/高频宏观指标_day.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_week__上海出口集装箱运价指数:综合指数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_week__中国:100大中城市:成交土地占地面积:当周值,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_week__中国:30大中城市:成交面积:商品房,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_week__中国:平均批发价:猪肉,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_week__中国:开工率:汽车轮胎(全钢胎),/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_week__中国:开工率:汽车轮胎(半钢胎),/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_week__中国:开工率:石油沥青装置,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_week__中国:日均产量:粗钢,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
"macro_week__中国:日均销量(当周,厂家零售):乘用车",/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_week__中国:水泥价格指数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_week__中国:江浙地区:开工率:涤纶长丝:下游织机,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_week__中国:生产资料价格指数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_week__中国:票房收入:电影,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_week__中国出口集装箱运价指数:综合指数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_week__中国食用农产品价格指数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_week__义乌中国小商品指数:总价格指数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_week__唐山:高炉开工率,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_week__期货结算价(连续):布伦特原油,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
macro_week__波罗的海货运指数,/workspaces/Bond-Yield-Prediction/data/高频宏观指标_week.xlsx,macro_features.csv,macro_factor,stage2_final_10y_legacy_t+1,weekly->daily,ffill,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
label__yield_10y__t+1,generated,labels,target,stage2_final_10y_legacy_t+1,daily,none,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
label__yield_10y_chg__t+1,generated,labels,target,stage2_final_10y_legacy_t+1,daily,none,/workspaces/Bond-Yield-Prediction/outputs/datasets/modeling_dataset_legacy_t+1_full.csv,Stage-2 legacy/baseline dataset kept for comparison; not the mainline training target. (label horizon in file: t+1)
